trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
705,False,"{'a': 0.5, 'e': 0.4939343155164451}",20,7,-16.934440646266605,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
706,False,"{'a': 0.5, 'e': 0.4934403812009287}",25,2,-54.13289844500025,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 1}",1
707,False,"{'a': 0.5, 'e': 0.4929469408197278}",25,0,-82.60108113976172,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
708,False,"{'a': 0.5, 'e': 0.49245399387890804}",25,7,-47.359981168902536,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
709,False,"{'a': 0.5, 'e': 0.4919615398850291}",20,10,18.77776567271761,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.5, 'e': 0.4914695783451441}",30,0,-46.65118829504491,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
711,False,"{'a': 0.5, 'e': 0.4909781087667989}",20,0,-4.25292289296657,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 0.4904871306580321}",20,13,2.328456904384818,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
713,False,"{'a': 0.5, 'e': 0.4899966435273741}",25,13,-2.7742329867301168,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
714,False,"{'a': 0.5, 'e': 0.4895066468838467}",20,0,-19.63952335793513,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
715,False,"{'a': 0.5, 'e': 0.48901714023696286}",20,1,-16.146608542208554,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
716,False,"{'a': 0.5, 'e': 0.4885281230967259}",25,6,2.505469040438034,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 0.48803959497362914}",25,4,-27.25072041294085,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
718,False,"{'a': 0.5, 'e': 0.4875515553786555}",20,0,-35.943913561816494,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
719,False,"{'a': 0.5, 'e': 0.48706400382327686}",30,1,-81.08571869732329,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 2}",1
720,False,"{'a': 0.5, 'e': 0.4865769398194536}",30,5,-3.8893791058854115,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 0.48609036287963414}",20,14,8.07407608834004,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 0.48560427251675453}",20,7,-83.98318375017108,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
723,False,"{'a': 0.5, 'e': 0.48511866824423777}",20,7,6.816825187200675,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 0.4846335495759935}",20,15,8.43689690249609,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 0.4841489160264175}",35,18,19.7283705759783,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
726,False,"{'a': 0.5, 'e': 0.4836647671103911}",20,5,-93.62449590397647,"{0: 8, 1: 3, 2: 1, 3: 2, 4: 1}",1
727,False,"{'a': 0.5, 'e': 0.4831811023432807}",20,6,-19.58279036751564,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
728,False,"{'a': 0.5, 'e': 0.4826979212409374}",25,0,-125.70012107213664,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
729,False,"{'a': 0.5, 'e': 0.48221522331969646}",30,11,-98.38688878055518,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 1}",1
730,False,"{'a': 0.5, 'e': 0.48173300809637676}",25,15,-35.77090654698357,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
731,False,"{'a': 0.5, 'e': 0.48125127508828036}",25,0,13.663914644793302,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
732,False,"{'a': 0.5, 'e': 0.48077002381319206}",30,0,-82.0382389308408,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
733,False,"{'a': 0.5, 'e': 0.48028925378937887}",25,0,-48.367518705165985,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
734,False,"{'a': 0.5, 'e': 0.47980896453558947}",25,20,9.161526568003993,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.5, 'e': 0.4793291555710539}",20,0,-47.435771052829196,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
736,False,"{'a': 0.5, 'e': 0.47884982641548285}",30,10,17.097580889550112,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
737,False,"{'a': 0.5, 'e': 0.47837097658906735}",25,9,-18.98194849619893,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 0}",1
738,False,"{'a': 0.5, 'e': 0.47789260561247826}",20,10,1.044338307563292,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.5, 'e': 0.4774147130068658}",25,11,-39.83991784381734,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
740,False,"{'a': 0.5, 'e': 0.4769372982938589}",20,6,6.80651569222087,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
741,False,"{'a': 0.5, 'e': 0.47646036099556505}",30,12,8.528692784957853,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
742,False,"{'a': 0.5, 'e': 0.47598390063456947}",20,12,-6.356876527760599,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
743,False,"{'a': 0.5, 'e': 0.4755079167339349}",20,14,-17.9711448020688,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
744,False,"{'a': 0.5, 'e': 0.47503240881720094}",25,8,-44.10570959546409,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
745,False,"{'a': 0.5, 'e': 0.47455737640838375}",25,5,-48.29013454382406,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
746,False,"{'a': 0.5, 'e': 0.47408281903197536}",20,15,5.41463553028122,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.5, 'e': 0.47360873621294336}",25,3,-45.47452840814642,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
748,False,"{'a': 0.5, 'e': 0.4731351274767304}",20,8,21.041531207274094,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.5, 'e': 0.4726619923492537}",20,0,-1.1406033752873046,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
750,False,"{'a': 0.5, 'e': 0.47218933035690447}",25,0,-71.42249566292729,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
751,False,"{'a': 0.5, 'e': 0.47171714102654755}",30,0,-103.22778533446373,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
752,False,"{'a': 0.5, 'e': 0.471245423885521}",20,12,3.5412997442198675,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.5, 'e': 0.47077417846163544}",30,13,-56.13548420230867,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
754,False,"{'a': 0.5, 'e': 0.4703034042831738}",30,0,-54.14750718420498,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
755,False,"{'a': 0.5, 'e': 0.46983310087889063}",20,16,7.2060662745017865,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.5, 'e': 0.46936326777801174}",20,0,-3.242140877133668,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
757,False,"{'a': 0.5, 'e': 0.4688939045102337}",30,17,9.322301458200776,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
758,False,"{'a': 0.5, 'e': 0.4684250106057235}",25,0,10.637483569263573,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
759,False,"{'a': 0.5, 'e': 0.46795658559511777}",25,6,-176.64367156643263,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 3}",1
760,False,"{'a': 0.5, 'e': 0.46748862900952265}",30,7,-13.668644841047433,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
761,False,"{'a': 0.5, 'e': 0.4670211403805131}",25,3,-22.88887411415023,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 0}",1
762,False,"{'a': 0.5, 'e': 0.4665541192401326}",25,0,-47.44776669192316,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
763,False,"{'a': 0.5, 'e': 0.4660875651208925}",25,17,1.5524425726260334,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
764,False,"{'a': 0.5, 'e': 0.4656214775557716}",25,12,-3.2254517323973095,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
765,False,"{'a': 0.5, 'e': 0.46515585607821586}",20,11,5.523574555833323,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
766,False,"{'a': 0.5, 'e': 0.46469070022213765}",25,0,-99.94650787421861,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
